#    n         h                k                l
   383  -0.43188914E+01  -0.45408565E-02   0.26162432E-02
   384  -0.43232200E+01  -0.45335663E-02   0.26121122E-02
   385  -0.43275435E+01  -0.45263159E-02   0.26080128E-02
   386  -0.43318617E+01  -0.45191050E-02   0.26039445E-02
   387  -0.43361747E+01  -0.45119331E-02   0.25999071E-02
   388  -0.43404824E+01  -0.45048000E-02   0.25959002E-02
   389  -0.43447848E+01  -0.44977052E-02   0.25919236E-02
   390  -0.43490820E+01  -0.44906484E-02   0.25879770E-02
   391  -0.43533738E+01  -0.44836292E-02   0.25840600E-02
   392  -0.43576603E+01  -0.44766472E-02   0.25801724E-02
   393  -0.43619414E+01  -0.44697021E-02   0.25763138E-02
   394  -0.43662172E+01  -0.44627935E-02   0.25724840E-02
   395  -0.43704876E+01  -0.44559212E-02   0.25686827E-02
   396  -0.43747527E+01  -0.44490846E-02   0.25649095E-02
   397  -0.43790123E+01  -0.44422836E-02   0.25611642E-02
   398  -0.43832665E+01  -0.44355178E-02   0.25574466E-02
   399  -0.43875152E+01  -0.44287868E-02   0.25537563E-02
   400  -0.43917586E+01  -0.44220903E-02   0.25500930E-02
   401  -0.43959964E+01  -0.44154280E-02   0.25464565E-02
   402  -0.44002288E+01  -0.44087995E-02   0.25428466E-02
   403  -0.44044556E+01  -0.44022046E-02   0.25392629E-02
   404  -0.44086770E+01  -0.43956430E-02   0.25357051E-02
   405  -0.44128928E+01  -0.43891142E-02   0.25321731E-02
   406  -0.44171031E+01  -0.43826181E-02   0.25286666E-02
   407  -0.44213078E+01  -0.43761543E-02   0.25251852E-02
   408  -0.44255070E+01  -0.43697225E-02   0.25217289E-02
   409  -0.44297006E+01  -0.43633224E-02   0.25182972E-02
   410  -0.44338886E+01  -0.43569537E-02   0.25148899E-02
   411  -0.44380709E+01  -0.43506162E-02   0.25115069E-02
   412  -0.44422477E+01  -0.43443095E-02   0.25081478E-02
   413  -0.44464188E+01  -0.43380334E-02   0.25048125E-02
   414  -0.44505843E+01  -0.43317876E-02   0.25015006E-02
   415  -0.44547441E+01  -0.43255718E-02   0.24982119E-02
   416  -0.44588982E+01  -0.43193857E-02   0.24949463E-02
   417  -0.44630466E+01  -0.43132290E-02   0.24917034E-02
   418  -0.44671894E+01  -0.43071016E-02   0.24884831E-02
   419  -0.44713264E+01  -0.43010031E-02   0.24852851E-02
   420  -0.44754577E+01  -0.42949332E-02   0.24821092E-02
   421  -0.44795832E+01  -0.42888918E-02   0.24789551E-02
   422  -0.44837030E+01  -0.42828785E-02   0.24758227E-02
   423  -0.44878171E+01  -0.42768931E-02   0.24727118E-02
   424  -0.44919253E+01  -0.42709353E-02   0.24696220E-02
   425  -0.44960278E+01  -0.42650050E-02   0.24665532E-02
   426  -0.45001245E+01  -0.42591017E-02   0.24635053E-02
   427  -0.45042153E+01  -0.42532254E-02   0.24604778E-02
   428  -0.45083003E+01  -0.42473758E-02   0.24574708E-02
   429  -0.45123795E+01  -0.42415526E-02   0.24544839E-02
   430  -0.45164529E+01  -0.42357555E-02   0.24515170E-02
   431  -0.45205204E+01  -0.42299844E-02   0.24485699E-02
   432  -0.45245820E+01  -0.42242391E-02   0.24456423E-02
   433  -0.45286377E+01  -0.42185193E-02   0.24427340E-02
   434  -0.45326876E+01  -0.42128247E-02   0.24398450E-02
   435  -0.45367315E+01  -0.42071552E-02   0.24369749E-02
