l  tau  s   h   p   n   pp  lm  lv  la  lj  ls         Hs1         body
2   0   0   1   2   2  -1   0   0   0   0   0  +1.433767906303e-07  MO
2   0   0   4   0   0   0   0   0  -5   0   0  +7.394128949164e-08  SU
2   0   0   4   0   0   0   0   0  -5   0   0  +1.654208528405e-08  MA
2   0   0   3   0   0   0   0  -1   0   0   0  +4.535821215570e-07  SU
2   0   0   3   0   0   0   0  -1   0   0   0  +2.623195238561e-07  VE
2   0   0 -10   0   0   0   0   7   0   0   0  +3.566510059597e-08  VE
2   0   0   3   0   0   0   0   0  -3   0   0  +1.172305626473e-07  SU
2   0   0   3   0   0   0   0   0  -3   0   0  +2.913125569459e-08  MA
2   0   0   2   0   0   0   0   0  -1   0   0  +7.517282934257e-09  MA
2   0   0   2   0   0   0   0   0   0  -6   0  +2.087742341637e-09  JU
2   0   0   2  -4  -1   0   0   0   0   0   0  +3.881990823777e-08  MO
2   0   0   8   0   0   0   0  -4   0   0   0  +1.160010448960e-08  SU
2   0   0   8   0   0   0   0  -4   0   0   0  +5.913997492107e-09  VE
2   0   0  -5   0   0   0   0   4   0   0   0  +1.406298924154e-07  SU
2   0   0  -5   0   0   0   0   4   0   0   0  +1.365543440501e-07  VE
2   0   0   1   0   0   0   0   0   1   0   0  +2.699061177434e-08  SU
2   0   0   1   0   0   0   0   0   1   0   0  +6.476923975321e-09  MA
2   0   0   9   0   0   0   0   0 -14   0   0  +2.620907512545e-09  MA
2   0   0   2   0   0   0   0   0   0  -5   0  +9.946026382445e-09  SU
2   0   0   2   0   0   0   0   0   0  -5   0  +1.103081273464e-08  JU
2   0   0   0   0   0   0   0   0   3   0   0  +4.187887702058e-08  SU
2   0   0   0   0   0   0   0   0   3   0   0  +4.911937068955e-09  MA
3   0   0   2  -3  -1   0   0   0   0   0   0  +3.444226714106e-08  MO
2   0   0   8   0   0   0   0   0 -12   0   0  +4.492300538119e-09  MA
2   0   0   0   0   0   0   0   1   0   0   0  +1.144151376641e-07  SU
2   0   0   0   0   0   0   0   1   0   0   0  +7.815176379177e-08  VE
2   0   0 -13   0   0   0   0   9   0   0   0  +5.422967355195e-09  VE
2   0   0  -1   0   0   0   0   0   5   0   0  +2.227771385664e-08  SU
2   0   0  -1   0   0   0   0   0   5   0   0  +2.738383022768e-09  MA
3   0   0   2  -3   0   0   0   0   0   0   0  +2.699304150624e-07  MO
2   0   0   2   0   0   0   0   0   0  -4   0  +7.913515021698e-08  SU
2   0   0   2   0   0   0   0   0   0  -4   0  +3.650991143478e-08  JU
2   0   0   2  -2  -2   0   0   0   0   0   0  -1.998519786630e-07  MO
2   0   0   7   0   0   0   0   0 -10   0   0  +6.855773136947e-09  MA
3   0   0   2  -3   1   0   0   0   0   0   0  -1.725731242257e-08  MO
2   0   0   2  -2  -1   0   0   0   0   0   0  +2.046822171987e-05  MO
4   0   0   2  -2  -1   0   0   0   0   0   0  -2.785771606997e-08  MO
2   0   0   2   1  -1   0   0   0   0  -4   0  +1.246176343997e-08  SU
2   0   0   6   0   0   0   0   0  -8   0   0  +9.040153325044e-09  MA
2   0   0   2   0   0   0   0   0   0  -3   0  +5.470940716915e-07  SU
2   0   0   2   0   0   0   0   0   0  -3   0  +1.975332190231e-08  JU
2   0   0   2  -1  -1   0   0   0   0  -1   0  +2.614012417750e-07  SU
2   0   0   5   0   0   0   0  -2   0   0   0  +2.800575001340e-08  VE
2   0   0  -8   0   0   0   0   6   0   0   0  +1.227577825320e-08  SU
2   0   0  -8   0   0   0   0   6   0   0   0  +2.216987212772e-07  VE
2   0   0   2  -2   0   0   0   0   0   0   0  -3.120590602134e-04  MO
4   0   0   2  -2   0   0   0   0   0   0   0  +7.304510226659e-08  MO
2   0   0   2  -2   0   2   0   0   0   0   0  -3.263332453911e-08  MO
3   0   0   2  -1  -2   0   0   0   0   0   0  -1.924714928471e-08  MO
2   0   0   5   0   0   0   0   0  -6   0   0  +1.793748797561e-08  SU
2   0   0   5   0   0   0   0   0  -6   0   0  +1.304296539331e-08  MA
2   0   0   2  -2   1   0   0   0   0   0   0  +2.893403691813e-05  MO
4   0   0   2  -2   1   0   0   0   0   0   0  -3.082438193716e-08  MO
2   0   0   2   0   0   0   0   0   0  -2   0  +7.051926490689e-08  MO
2   0   0   2   0   0   0   0   0   0  -2   0  +2.828101874687e-06  SU
2   0   0   2   0   0   0   0   0   0  -2   0  +1.009515487841e-07  JU
2   0   0   2  -1  -1  -1   0   0   0   0   0  +3.791543693679e-08  MO
3   0   0   2  -1  -1   0   0   0   0   0   0  +1.967550689285e-06  MO
2   0   0  10   0   0   0   0  -5   0   0   0  +1.653575399101e-09  VE
2   0   0   2  -1   1   0   0   0   0   0  -2  +6.028940559406e-08  SU
2   0   0   4   0   0   0   0   0  -4   0   0  +2.005042947212e-08  MA
2   0   0  -3   0   0   0   0   3   0   0   0  +3.572485319834e-08  MO
2   0   0  -3   0   0   0   0   3   0   0   0  +8.588963483801e-07  SU
2   0   0  -3   0   0   0   0   3   0   0   0  +1.441035503394e-06  VE
2   0   0 -16   0   0   0   0  11   0   0   0  +1.665799444679e-09  VE
2   0   0   2  -2   2   0   0   0   0   0   0  -3.668535596747e-07  MO
2   0   0   2  -1   0  -1   0   0   0   0   0  -2.583893612620e-07  MO
2   0   0   2  -1   0  -1   0   0   0   0   0  -4.439145145176e-08  SU
3   0   0   2  -1   0   0   0   0   0   0   0  -3.807849502293e-05  MO
5   0   0   2  -1   0   0   0   0   0   0   0  +1.432682540741e-08  MO
2   0   0   2   0   0   0   0   0   0   0  -3  +2.205299131026e-08  SU
